museum_id;exhibit_id;end_date;visitors_number;name;creation_date;title;category;curator_id;extra_info;specialty_id;curator_specialty
1;16;25/01/2021;956;Edwards;25/01/2021;Artist;young;;;;
1;54;26/09/2023;384;Edwards;25/05/2020;;;;;;
1;55;05/04/2024;1791;Edwards;15/04/2020;;;;;;
1;59;21/04/2023;4837;Edwards;07/01/2020;Reason;than;;;;
1;76;12/05/2020;1813;Edwards;12/05/2020;Rest;would;;;;
1;110;08/02/2024;2332;Edwards;27/02/2020;Thus;heavy;;;;
1;300;04/05/2020;3906;Edwards;04/05/2020;;;;;;
1;333;26/02/2020;143;Edwards;28/01/2020;Over;grow;;;;
1;342;20/11/2022;1131;Edwards;09/09/2020;;;;;;
1;420;27/07/2024;217;Edwards;25/08/2021;;;;;;
1;563;30/11/2020;576;Edwards;18/05/2020;;;;;;
1;628;06/05/2023;4032;Edwards;13/01/2020;Policy;often;;;;
1;653;26/09/2022;1498;Edwards;19/01/2021;;;;;;
1;687;27/04/2020;3044;Edwards;27/04/2020;Many;where;;;;
1;786;10/11/2023;1695;Edwards;06/05/2020;Move;dream;;;;
1;913;08/07/2020;4517;Edwards;08/07/2020;;;;;;
1;946;12/05/2025;3282;Edwards;12/08/2020;Quickly;sign;;;;
2;10;05/06/2023;940;Bell-Diaz;08/10/2020;;;;;;
2;66;13/01/2022;4051;Bell-Diaz;17/03/2021;Sister;door;;;;
2;85;26/12/2020;3232;Bell-Diaz;14/03/2020;Cell;however;;;;
2;88;15/06/2023;636;Bell-Diaz;31/05/2020;Else;goal;;;;
2;103;19/02/2024;2165;Bell-Diaz;24/03/2020;Some;here;;;;
2;137;23/06/2020;1796;Bell-Diaz;23/06/2020;Within;seat;;;;
2;225;18/11/2023;1373;Bell-Diaz;30/01/2020;Book;quality;;;;
2;275;09/10/2024;2242;Bell-Diaz;19/04/2020;;;;;;
2;292;29/09/2025;4793;Bell-Diaz;27/03/2020;Card;rich;;;;
2;310;04/06/2021;774;Bell-Diaz;03/10/2020;;;;;;
2;467;09/12/2021;4917;Bell-Diaz;08/01/2020;Too;ago;;;;
2;495;06/05/2020;1269;Bell-Diaz;06/05/2020;Spring;standard;;;;
2;509;28/02/2022;1418;Bell-Diaz;24/06/2020;;;;;;
2;568;01/09/2024;2548;Bell-Diaz;06/03/2020;Prepare;great;;;;
2;572;07/11/2023;546;Bell-Diaz;13/03/2020;Beyond;despite;;;;
2;762;20/08/2024;3162;Bell-Diaz;25/02/2020;Authority;road;;;;
2;765;02/01/2025;1991;Bell-Diaz;08/11/2020;Song;anyone;;;;
2;839;08/03/2023;3371;Bell-Diaz;21/08/2021;General;growth;;;;
