museum_id,exhibit_id,end_date,visitors_number,name,creation_date,title,category,curator_id,extra_info,specialty_id,curator_specialty
86,153,6/23/2022,1771,Meadows PLC,11/9/2021,What,out,126,service,101,Arte contemporânea
380,252,3/1/2023,835,Noble Ltd,10/16/2021,Clear,clearly,61,item,366,Desenvolvimento e Estudos Culturais
229,263,9/19/2024,4150,Ward-Smith,10/22/2025,Always,may,128,push,54,Cultura Urbana
386,628,3/19/2023,3382,Knox-Collins,6/11/2025,Policy,often,,,,
150,10,2/15/2025,2627,Francis,,,,,,,
466,308,4/3/2021,4969,Hall-Ryan,7/7/2025,Customer,apply,,,,
95,779,6/10/2022,3214,Johnson Group,3/7/2024,Whole,street,26,TV,366,Desenvolvimento e Estudos Culturais
95,779,6/10/2022,3214,Johnson Group,3/7/2024,Whole,street,115,suddenly,366,Desenvolvimento e Estudos Culturais
90,913,9/1/2024,3570,Ford,,,,,,,
266,542,7/2/2025,2473,Green-Wright,10/22/2025,Yeah,base, ,,79,Critica da Arte
49,820,6/20/2023,3559,Christian-Aguilar,7/6/2022,Red,probably,,,,
417,674,11/19/2022,2162,Mitchell Ltd,11/21/2025,Pay,generation,,,,
74,76,11/16/2021,4385,Smith-White,11/25/2025,Rest,would,,,,
240,112,7/3/2022,2068,Steele PLC,5/8/2024,Example,lose,100,item,101,Arte contemporânea
467,11,7/25/2021,3278,Shields-Mullen,1/21/2024,This,face,,,,
297,6,10/24/2023,3677,Mccarthy Group,2/17/2023,Million,attack,58,win,79,Critica da Arte
80,306,6/11/2025,705,Medina,,,,,,,
404,228,5/7/2021,4554,Mathews,,,,,,,
357,207,3/27/2023,3574,Mcconnell Ltd,1/23/2023,Success,president,153,itself,,
263,281,2/3/2020,4453,Baker,,,,,,,
349,646,4/27/2021,520,Harrell,,,,,,,
309,769,10/8/2024,2229,Bell,,,,,,,
150,698,8/20/2022,2456,Francis,,,,,,,
344,821,10/17/2021,4092,Oliver-Andrews,4/30/2024,Dog,decide,80,among,79,Critica da Arte
344,821,10/17/2021,4092,Oliver-Andrews,4/30/2024,Dog,decide,134,report,101,Arte contemporânea
396,77,9/30/2021,2458,Gillespie Inc,10/6/2023,Help,together,,,,
109,514,11/13/2020,3897,Smith,,,,,,,
449,515,6/1/2020,2845,Young-Aguirre,10/14/2024,There,dinner,,,,
292,37,11/19/2025,4338,Murphy Ltd,4/27/2024,Box,land,,,,
262,952,1/2/2022,4448,Lee LLC,12/20/2023,Fire,another,,,,
331,415,7/15/2022,2967,Lawrence,,,,,,,
489,763,3/11/2021,1631,Martin,,,,,,,
267,350,2/28/2021,4424,Chang-Lucero,11/26/2022,Represent,example,62,tax,79,Critica da Arte
267,350,2/28/2021,4424,Chang-Lucero,11/26/2022,Represent,example,84,actually,54,Cultura Urbana
185,566,2/28/2025,3400,Jones-Jones,6/7/2024,Different,husband,28,clear,,
102,405,4/10/2022,2600,Bradford Inc,4/6/2023,Time,sing,,,,
494,708,7/14/2023,1334,Hall LLC,12/4/2021,Wife,far,136,would,54,Cultura Urbana
261,283,9/30/2023,1286,Webb LLC,1/16/2025,Nature,rise,,,,
218,137,11/13/2021,3810,Fischer Ltd,6/16/2025,Within,seat,,,,
429,679,4/25/2023,1778,Nelson-Smith,8/21/2023,Word,hard,,,,
144,625,3/15/2020,4485,Bender-Griffin,7/16/2025,Need,a,,,,
385,819,7/3/2022,1540,Cole Group,11/24/2025,Former,involve,,,,
160,795,1/17/2026,874,Lopez-Riley,8/19/2024,Room,thought,6,show,,
26,56,1/1/2025,1028,Kelley,,,,,,,
212,686,10/10/2020,2001,Fox PLC,11/10/2023,Human,vote,,,,
176,447,2/5/2025,789,Simmons and Sons,8/15/2021,Argue,rock,,,,
272,717,9/6/2025,738,Hull-Steele,8/3/2024,Think,future,127,kid,,
298,815,10/26/2020,4167,Murphy,,,,,,,
176,515,9/3/2023,2878,Simmons and Sons,8/15/2021,There,dinner,,,,
303,968,7/10/2025,4622,Decker-Glover,7/12/2021,Deep,tonight,,,,
28,479,10/6/2021,3041,Mcconnell,,,,,,,
462,940,11/26/2025,3725,Gonzales-Houston,5/12/2025,Natural,wind,,,,
148,796,5/19/2023,1566,Martin,,,,,,,
322,760,4/9/2021,1150,Jones,,,,,,,
282,522,5/9/2024,820,Thomas LLC,11/7/2024,Laugh,else,,,,
416,672,12/16/2020,1075,Holland PLC,2/17/2022,Once,yeah,,,,
234,581,6/18/2025,164,Baker,,,,,,,
417,122,4/8/2020,2822,Mitchell Ltd,11/21/2025,Want,wind,,,,
278,519,7/13/2025,1514,Evans Inc,8/6/2025,Leader,technology,,,,
215,540,12/7/2024,1263,Robbins Group,7/18/2021,Seven,check,,,,
233,180,7/10/2022,2356,Rogers LLC,1/10/2023,As,beyond,,,,
383,712,1/26/2024,175,Mathis,,,,,,,
223,890,11/14/2025,4118,Reed and Sons,11/27/2025,Must,technology,25,occur,54,Cultura Urbana
23,173,8/2/2022,2589,Snow,,,,,,,
20,156,5/8/2023,3463,Rodriguez-Hall,9/7/2025,Hundred,support,169,actually,54,Cultura Urbana
28,393,1/18/2022,1971,Mcconnell,,,,,,,
196,83,9/21/2020,817,Barber LLC,3/31/2024,Past,offer,142,century,54,Cultura Urbana
47,431,4/5/2023,2931,Perkins-Camacho,6/15/2025,Appear,agency,,,,
386,417,4/9/2020,295,Knox-Collins,6/11/2025,Approach,interview,,,,
448,361,8/3/2022,1155,White Ltd,3/3/2021,Staff,radio,,,,
64,702,8/21/2022,4929,Hicks and Sons,12/27/2021,He,desCribe,,,,
221,939,2/9/2021,2488,Johnson PLC,8/6/2021,Happen,agree,,,,
183,2,11/10/2021,1414,Gardner LLC,11/13/2025,Benefit,key,,,,
416,808,7/8/2021,684,Holland PLC,2/17/2022,Ahead,whose,,,,
194,468,8/15/2020,3386,Torres,,,,,,,
323,798,10/7/2025,2484,Chambers,,,,,,,
208,322,4/4/2024,2344,Gates,,,,,,,
52,554,6/14/2022,2854,Torres,,,,,,,
102,899,9/8/2021,301,Bradford Inc,4/6/2023,Fine,hundred,,,,
282,581,2/3/2026,1437,Thomas LLC,11/7/2024,Bed,ask,,,,
194,429,11/4/2024,1456,Torres,,,,,,,
429,573,2/22/2021,3737,Nelson-Smith,8/21/2023,Drug,father,,,,
155,309,6/27/2023,2462,Parker Ltd,2/26/2023,Wear,radio,82,room,54,Cultura Urbana
130,624,5/16/2021,1001,Delgado-Potter,7/19/2024,Why,professor,,,,
293,748,2/8/2026,4226,Elliott and Sons,5/5/2023,People,provide,74,rise,366,Desenvolvimento e Estudos Culturais
297,265,1/23/2024,4365,Mccarthy Group,2/17/2023,Third,girl,58,win,79,Critica da Arte
35,245,8/20/2025,3331,Mclean,,,,,,,
440,889,1/14/2025,3510,Edwards Inc,1/16/2025,Yard,white,,,,
484,876,12/6/2025,750,Norman Ltd,2/28/2021,In,ever,178,training,54,Cultura Urbana
375,831,1/28/2022,466,Fowler and Sons,5/21/2023,Available,arrive,,,,
291,683,5/2/2023,1263,Lopez LLC,3/17/2022,Away,wind,155,institution,,
262,693,1/7/2023,186,Lee LLC,12/20/2023,Nothing,traditional,,,,
485,553,4/17/2023,3093,Gomez Group,7/7/2022,Claim,news,,,,
350,241,7/24/2024,3032,Keller-Carrillo,6/10/2021,Clearly,serious,5,particular,54,Cultura Urbana
257,39,7/30/2020,1369,Mccarty,,,,,,,
337,281,9/17/2024,3621,Carrillo-Farmer,8/19/2023,Sense,perform,,,,
249,774,4/21/2023,1456,Baker Group,12/13/2021,Start,area,90,treatment,,
12,560,11/2/2025,642,Brewer,,,,,,,
12,560,11/2/2025,642,Brewer,,,,,,,
12,560,11/2/2025,642,Brewer,,,,,,,
485,233,9/1/2021,333,Gomez Group,7/7/2022,Herself,water,,,,
278,478,6/14/2022,446,Evans Inc,8/6/2025,Common,cold,,,,
256,90,5/26/2020,2810,Whitaker,,,,,,,
61,406,10/14/2024,1272,Myers Group,10/25/2025,Fight,sometimes,195,particular,366,Desenvolvimento e Estudos Culturais
165,384,1/29/2020,4070,Taylor Ltd,8/15/2025,Heavy,win,,,,
368,56,10/29/2024,1539,Meyer Inc,10/12/2025,Direction,support,38,human,101,Arte contemporânea
16,669,2/27/2025,3185,Villarreal,,,,,,,
479,36,10/29/2020,608,Smith and Sons,4/3/2024,General,body,14,how,101,Arte contemporânea
