museum_id;exhibit_id;end_date;visitors_number;name;creation_date;title;category;curator_id;extra_info;specialty_id;curator_specialty
1;16;2021-01-25;956;Edwards;2021-01-25;Artist;young;;;;
1;54;2023-09-26;384;Edwards;2020-05-25;Garden;tool;;;;
1;55;2024-04-05;1791;Edwards;2020-04-15;Sun;star;;;;
1;59;2023-04-21;4837;Edwards;2020-01-07;Reason;than;;;;
1;76;2020-05-12;1813;Edwards;2020-05-12;Rest;would;;;;
1;110;2024-02-08;2332;Edwards;2020-02-27;Thus;heavy;;;;
1;300;2020-05-04;3906;Edwards;2020-05-04;January;sally;;;;
1;333;2020-02-26;143;Edwards;2020-01-28;Over;grow;;;;
1;342;2022-11-20;1131;Edwards;2020-09-09;Words;argon;;;;
1;420;2024-07-27;217;Edwards;2021-08-25;With;you;;;;
1;563;2020-11-30;576;Edwards;2020-05-18;Exam;sent;;;;
1;628;2023-05-06;4032;Edwards;2020-01-13;Policy;often;;;;
1;653;2022-09-26;1498;Edwards;2021-01-19;Chaos;layman;;;;
1;687;2020-04-27;3044;Edwards;2020-04-27;Many;where;;;;
1;786;2023-11-10;1695;Edwards;2020-05-06;Move;dream;;;;
1;913;2020-07-08;4517;Edwards;2020-07-08;Wise;artifact;;;;
1;946;2025-05-12;3282;Edwards;2020-08-12;Quickly;sign;;;;
2;10;2023-06-05;940;Bell-Diaz;2020-10-08;Lease;deposit;;;;
2;66;2022-01-13;4051;Bell-Diaz;2021-03-17;Sister;door;;;;
2;85;2020-12-26;3232;Bell-Diaz;2020-03-14;Cell;however;;;;
2;88;2023-06-15;636;Bell-Diaz;2020-05-31;Else;goal;;;;
2;103;2024-02-19;2165;Bell-Diaz;2020-03-24;Some;here;;;;
2;137;2020-06-23;1796;Bell-Diaz;2020-06-23;Within;seat;;;;
2;225;2023-11-18;1373;Bell-Diaz;2020-01-30;Book;quality;;;;
2;275;2024-10-09;2242;Bell-Diaz;2020-04-19;June;mar;;;;
2;292;2025-09-29;4793;Bell-Diaz;2020-03-27;Card;rich;;;;
2;310;2021-06-04;774;Bell-Diaz;2020-10-03;Serve;provide;;;;
2;467;2021-12-09;4917;Bell-Diaz;2020-01-08;Too;ago;;;;
2;495;2020-05-06;1269;Bell-Diaz;2020-05-06;Spring;standard;;;;
2;509;2022-02-28;1418;Bell-Diaz;2020-06-24;Leave;bone;;;;
2;568;2024-09-01;2548;Bell-Diaz;2020-03-06;Prepare;great;;;;
2;572;2023-11-07;546;Bell-Diaz;2020-03-13;Beyond;despite;;;;
2;762;2024-08-20;3162;Bell-Diaz;2020-02-25;Authority;road;;;;
2;765;2025-01-02;1991;Bell-Diaz;2020-11-08;Song;anyone;;;;
2;839;2023-03-08;3371;Bell-Diaz;2021-08-21;General;growth;;;;
3;3;2023-12-02;2824;Montoya-Yang;2021-07-24;Unit;film;;;;
3;21;2022-04-04;3480;Montoya-Yang;2020-03-25;Charter;carter ;;;;
3;64;2022-09-13;2505;Montoya-Yang;2020-12-06;Red;information;;;;
3;120;2024-01-04;3602;Montoya-Yang;2021-03-13;Follow;democratic;;;;
3;177;2021-04-30;1463;Montoya-Yang;2021-04-21;Second;actually;;;;
3;189;2022-08-20;973;Montoya-Yang;2020-11-11;Toward;station;;;;
3;238;2023-02-27;1087;Montoya-Yang;2021-10-17;Labour;party;;;;
3;412;2023-01-10;4144;Montoya-Yang;2020-06-24;Night;third;;;;
3;455;2021-04-29;3117;Montoya-Yang;2020-07-23;Former;public;;;;
3;531;2024-10-24;2073;Montoya-Yang;2021-04-24;Commercial;relate;;;;
3;544;2023-05-07;1389;Montoya-Yang;2020-09-24;He;two;;;;
3;704;2023-08-29;2508;Montoya-Yang;2020-02-29;Mission;thought;;;;
3;718;2024-07-14;3697;Montoya-Yang;2021-04-23;Partner;ball;;;;
3;783;2023-02-18;1744;Montoya-Yang;2020-06-06;Withered;class;;;;
3;936;2021-12-19;3525;Montoya-Yang;2020-02-02;Reaction;fire;;;;
4;20;2022-04-05;942;Dunn-Velez;2020-02-08;Road;though;;;;
4;61;2024-11-15;4095;Dunn-Velez;2020-10-01;After;degree;;;;
4;75;2022-04-25;1805;Dunn-Velez;2020-02-17;Surface;throughout;;;;
4;146;2026-01-27;916;Dunn-Velez;2021-11-06;Choose;vote;;;;
4;260;2022-06-18;3626;Dunn-Velez;2020-04-19;Expert;knowledge;;;;
4;294;2021-08-31;1112;Dunn-Velez;2020-01-01;Ring;rink;;;;
4;316;2025-11-11;2279;Dunn-Velez;2020-06-19;Apt;arctic;;;;
4;397;2023-06-18;954;Dunn-Velez;2020-09-11;Snake;november;;;;
4;397;2023-08-26;3636;Dunn-Velez;2020-09-11;Snake;november;;;;
4;487;2023-01-31;4181;Dunn-Velez;2020-07-17;Become;heavy;;;;
4;582;2022-01-17;2275;Dunn-Velez;2020-08-05;Adult;mean;;;;
4;616;2021-07-28;3457;Dunn-Velez;2020-01-02;Clear;reveal;;;;
4;659;2023-01-31;2044;Dunn-Velez;2020-01-20;Table;page;;;;
4;664;2024-06-29;3955;Dunn-Velez;2020-03-01;Yes;keep;;;;
4;677;2022-08-01;277;Dunn-Velez;2021-08-26;Bit;again;;;;
4;696;2025-04-27;208;Dunn-Velez;2020-08-31;Fight;into;;;;
4;702;2021-09-27;4947;Dunn-Velez;2020-01-23;He;desCribe;;;;
4;807;2020-06-05;3033;Dunn-Velez;2020-06-05;Annoyance;disgrace;;;;
4;894;2025-02-04;1297;Dunn-Velez;2020-09-11;Scientist;tax;;;;
4;895;2021-02-01;4966;Dunn-Velez;2020-01-15;Eye;husband;;;;
4;918;2022-11-24;1721;Dunn-Velez;2020-04-16;Social;iniciative;;;;
5;159;2025-08-23;867;Murphy;2021-11-01;Help;activity;;;;
5;386;2021-05-23;2359;Murphy;2020-08-02;Test;nothing;;;;
5;535;2021-06-09;4214;Murphy;2020-04-05;Feeling;red;;;;
5;615;2020-03-16;4753;Murphy;2020-03-16;Unit;area;;;;
5;643;2024-06-30;827;Murphy;2020-05-31;Term;example;;;;
5;663;2023-08-02;270;Murphy;2021-02-16;Skin;Mrs;;;;
5;743;2024-11-11;3376;Murphy;2020-07-21;Section;partner;;;;
5;781;2021-01-01;886;Murphy;2020-08-12;Wife;sure;;;;
5;798;2025-10-01;3373;Murphy;2021-08-11;Cruel;goofy;;;;
5;852;2023-04-20;2863;Murphy;2020-12-06;Accent;loser;;;;
5;972;2022-07-29;4566;Murphy;2020-02-14;Snoop;liner;;;;
6;36;2024-10-17;3681;Thomas;2020-10-29;General;body;;;;
6;80;2023-12-13;4333;Thomas;2020-03-29;Repetition;work;;;;
6;207;2025-05-24;3396;Thomas;2021-04-24;Success;president;;;;
6;208;2024-08-02;1597;Thomas;2020-02-23;Wheal;wheel;;;;
6;301;2022-05-10;4309;Thomas;2020-11-30;Image;TV;;;;
6;333;2021-10-11;2974;Thomas;2020-01-28;Over;grow;;;;
6;335;2024-06-22;635;Thomas;2020-03-03;Construct;tennis;;;;
6;399;2021-04-03;3136;Thomas;2020-09-09;Home;difficult;;;;
6;418;2022-04-13;3638;Thomas;2021-05-03;Method;civil;;;;
6;724;2020-10-28;1541;Thomas;2020-02-21;Reader;bionic;;;;
6;750;2025-06-06;251;Thomas;2020-05-08;Commons;calculator;;;;
6;778;2025-08-23;4819;Thomas;2020-03-09;Friend;do;;;;
6;892;2020-07-15;627;Thomas;2020-07-15;Unexpect;inject;;;;
6;909;2020-11-27;4210;Thomas;2020-07-16;At;various;;;;
6;960;2023-08-28;1913;Thomas;2021-01-02;Finally;personal;;;;
6;986;2020-10-15;3906;Thomas;2020-04-10;Appear;career;;;;
7;65;2024-10-01;4229;Long Ltd;2021-01-01;Possible;network;72;interesting;101;Renaissance
7;175;2024-05-27;2036;Long Ltd;2020-01-22;Grocery;recurr;72;interesting;101;Renaissance
7;202;2021-03-31;3932;Long Ltd;2020-10-20;Number;news;72;interesting;101;Renaissance
7;203;2020-05-29;2133;Long Ltd;2020-05-29;Key;time;72;interesting;101;Renaissance
